Models,Datasets,Metrics,Values,SE
svm,hold-out,recall,0.9,0.04
svm,hold-out,AUC,0.832353,0.05632353
svm,hold-out,MCC,0.674702,0.02174702
svm,shuffled,recall,0.25,0.0415
svm,shuffled,AUC,0.360294,0.04360294
svm,shuffled,MCC,-0.287115,0.01712885
rf,hold-out,recall,0.9,0.051
rf,hold-out,AUC,0.832353,0.04732353
rf,hold-out,MCC,0.674702,0.05474702
rf,shuffled,recall,0.6,0.04
rf,shuffled,AUC,0.447059,0.04047059
rf,shuffled,MCC,-0.110531,0.02289469
gbm,hold-out,recall,0.85,0.0265
gbm,hold-out,AUC,0.836765,0.05236765
gbm,hold-out,MCC,0.673529,0.05273529
gbm,shuffled,recall,0.8,0.049
gbm,shuffled,AUC,0.547059,0.01947059
gbm,shuffled,MCC,0.109323,0.03409323
meta rf,hold-out,recall,0.85,0.0205
meta rf,hold-out,AUC,0.866176,0.05466176
meta rf,hold-out,MCC,0.730208,0.02630208
meta rf,shuffled,recall,0.45,0.0215
meta rf,shuffled,AUC,0.430882,0.02530882
meta rf,shuffled,MCC,-0.137831,0.01562169
